CustomerID,Recency,Frequency,Monetary,Recency_rank,Frequency_rank,Monetary_rank,segment
13617,40.0,3.0,544.18,3,3,3,Need attention
16115,10.0,5.0,1157.07,4,4,4,Loyal
17242,108.0,2.0,1135.04,1,2,4,Hibernating
14823,180.0,1.0,110.78,1,1,1,Hibernating
16938,9.0,4.0,1635.5300000000002,5,4,5,Champions
17211,27.0,3.0,1063.28,3,3,4,Need attention
17422,16.0,6.0,1300.21,4,5,4,Champions
17289,32.0,4.0,936.16,3,4,4,Loyal
16018,39.0,2.0,408.90000000000003,3,2,2,About to sleep
14704,11.0,9.0,1546.91,4,5,5,Champions
13078,1.0,25.0,8088.17,5,5,5,Champions
16794,1.0,12.0,1201.51,5,5,4,Champions
15939,90.0,6.0,1482.66,1,5,4,Don't lose them
17802,82.0,3.0,1151.64,1,3,4,At risk
18069,26.0,4.0,1337.21,3,4,4,Loyal
14397,1.0,21.0,2314.44,5,5,5,Champions
15271,7.0,11.0,1750.21,5,5,5,Champions
17961,21.0,18.0,395.69,4,5,2,Potential Loyal
13468,2.0,19.0,2074.13,5,5,5,Champions
16700,9.0,8.0,2107.07,5,5,5,Champions
13761,50.0,2.0,1070.65,2,2,4,Hibernating
13517,60.0,5.0,2109.07,2,4,5,Don't lose them
13936,171.0,2.0,361.28,1,2,2,Hibernating
17381,9.0,14.0,6454.3,5,5,5,Champions
12567,23.0,4.0,4944.28,4,4,5,Champions
16342,75.0,4.0,322.41,2,4,2,At risk
12708,30.0,8.0,1327.9,3,5,4,Loyal
14911,1.0,168.0,93916.26,5,5,5,Champions
16525,2.0,12.0,4238.16,5,5,5,Champions
14688,8.0,15.0,2338.79,5,5,5,Champions
12481,23.0,3.0,2495.77,4,3,5,Loyal
14177,85.0,5.0,554.46,1,4,3,At risk
14573,180.0,1.0,116.75999999999999,1,1,1,Hibernating
12732,180.0,1.0,236.26000000000002,1,1,2,Hibernating
16205,31.0,4.0,761.38,3,4,3,Loyal
13269,1.0,11.0,3296.34,5,5,5,Champions
12714,9.0,3.0,2946.94,5,3,5,Loyal
18109,2.0,17.0,5096.81,5,5,5,Champions
15491,95.0,3.0,1455.17,1,3,4,At risk
13856,169.0,3.0,144.4,1,3,1,At risk
15625,100.0,7.0,809.23,1,5,4,Don't lose them
15036,72.0,3.0,465.55,2,3,3,At risk
17169,50.0,3.0,508.2,2,3,3,At risk
17795,180.0,1.0,187.14000000000001,1,1,1,Hibernating
17725,16.0,8.0,2154.5,4,5,5,Champions
15845,18.0,6.0,2164.71,4,5,5,Champions
13589,15.0,2.0,379.65,4,2,2,Potential Loyal
13552,66.0,9.0,1830.03,2,5,5,Don't lose them
14719,2.0,5.0,1368.72,5,4,4,Champions
13018,16.0,17.0,3603.7400000000002,4,5,5,Champions
15311,1.0,58.0,26320.3,5,5,5,Champions
14667,11.0,14.0,5287.39,4,5,5,Champions
16209,89.0,3.0,1694.5600000000002,1,3,5,At risk
17027,79.0,3.0,446.41,2,3,3,At risk
14606,1.0,57.0,4748.39,5,5,5,Champions
17579,5.0,4.0,440.2,5,4,3,Loyal
12472,31.0,7.0,3452.52,3,5,5,Loyal
15069,179.0,1.0,1109.53,1,1,4,Hibernating
17719,38.0,13.0,3396.34,3,5,5,Loyal
17349,179.0,1.0,110.75,1,1,1,Hibernating
14841,53.0,3.0,1513.91,2,3,4,At risk
13999,10.0,11.0,2618.44,4,5,5,Champions
13080,179.0,1.0,58.08,1,1,1,Hibernating
16987,3.0,6.0,1412.0,5,5,4,Champions
17696,38.0,9.0,1368.41,3,5,4,Loyal
17675,1.0,23.0,12474.79,5,5,5,Champions
13505,68.0,5.0,2409.59,2,4,5,Don't lose them
15382,15.0,3.0,3813.4900000000002,4,3,5,Loyal
13663,179.0,1.0,189.47,1,1,1,Hibernating
13148,29.0,9.0,1751.51,3,5,5,Loyal
17236,13.0,2.0,352.31,4,2,2,Potential Loyal
17841,2.0,100.0,27656.01,5,5,5,Champions
17115,8.0,2.0,204.03000000000003,5,2,1,Potential Loyal
13771,64.0,3.0,1166.85,2,3,4,At risk
18221,22.0,4.0,496.3,4,4,3,Loyal
13012,9.0,7.0,609.33,5,5,3,Champions
16038,8.0,3.0,137.38,5,3,1,Potential Loyal
15238,29.0,4.0,756.4,3,4,3,Loyal
15838,11.0,13.0,25422.68,4,5,5,Champions
15827,73.0,6.0,685.12,2,5,3,At risk
16133,4.0,30.0,7578.1900000000005,5,5,5,Champions
13742,17.0,5.0,966.3000000000001,4,4,4,Loyal
16949,4.0,3.0,267.52,5,3,2,Potential Loyal
16013,4.0,29.0,22081.18,5,5,5,Champions
13397,73.0,3.0,558.71,2,3,3,At risk
